Team,Year,Perc_foreign
Wigan Athletic,2000,
Wigan Athletic,2001,
Wigan Athletic,2002,
Wigan Athletic,2003,
Wigan Athletic,2004,
Wigan Athletic,2005,64.29
Wigan Athletic,2006,62.07
Wigan Athletic,2007,65.52
Wigan Athletic,2008,72.0
Wigan Athletic,2009,77.14
Wigan Athletic,2010,71.43
Wigan Athletic,2011,75.86
Wigan Athletic,2012,80.0
Wigan Athletic,2013,
Wigan Athletic,2014,
Wimbledon FC,1992,33.33
Wimbledon FC,1993,30.77
Wimbledon FC,1994,40.0
Wimbledon FC,1995,43.33
Wimbledon FC,1996,53.85
Wimbledon FC,1997,56.25
Wimbledon FC,1998,61.29
Wimbledon FC,1999,64.71
Wimbledon FC,2000,
Wimbledon FC,2001,
Wimbledon FC,2002,
Wimbledon FC,2003,
Wimbledon FC,2004,
Wimbledon FC,2005,
Wimbledon FC,2006,
Wimbledon FC,2007,
Wimbledon FC,2008,
Wimbledon FC,2009,
Wimbledon FC,2010,
Wimbledon FC,2011,
Wimbledon FC,2012,
Wimbledon FC,2013,
Wimbledon FC,2014,
Wolverhampton Wanderers,1992,
Wolverhampton Wanderers,1993,
Wolverhampton Wanderers,1994,
Wolverhampton Wanderers,1995,
Wolverhampton Wanderers,1996,
Wolverhampton Wanderers,1997,
Wolverhampton Wanderers,1998,
Wolverhampton Wanderers,1999,
Wolverhampton Wanderers,2000,
Wolverhampton Wanderers,2001,
Wolverhampton Wanderers,2002,
Wolverhampton Wanderers,2003,64.71
Wolverhampton Wanderers,2004,
Wolverhampton Wanderers,2005,
Wolverhampton Wanderers,2006,
Wolverhampton Wanderers,2007,
Wolverhampton Wanderers,2008,
Wolverhampton Wanderers,2009,51.35
Wolverhampton Wanderers,2010,54.76
Wolverhampton Wanderers,2011,65.71
Wolverhampton Wanderers,2012,
Wolverhampton Wanderers,2013,
Wolverhampton Wanderers,2014,
Average,1992,30.83549999999999
Average,1993,29.482499999999998
Average,1994,33.158
Average,1995,37.89149999999999
Average,1996,41.337
Average,1997,48.685500000000005
Average,1998,50.855000000000004
Average,1999,52.02199999999999
Average,2000,55.96750000000001
